Employee_ID,Name,Age,Gender,Department,Education_Level,Join_Date,Training_Program,Training_Date,Training_Attended,Pre_Training_Score,Post_Training_Score,Manager_Feedback_Score,Peer_Feedback_Score
a46ee99e-ae4e-489f-9659-d69f4ecad266,Sharon Burgess,37,M,HR,None,13/05/2022,Communication,12/11/2024,A,0,,4,4
b4b6c702-611a-4d79-8da7-61fd4f7c1491,Douglas Cunningham,,F,HR,Bachelors,24/05/2021,Python,15/05/2023,A,,,4,4
45d62ecd-3030-47f4-95d4-999b39d88a14,Cassandra Phillips,32,MALE,Engineering,None,15/10/2023,Cloud Computing,14/02/2025,P,0,89,5,5
5aeb5055-7d69-4580-97a8-510843b93b02,Hannah May,,M,Sales,Bachelors,02/01/2024,Project Management,09/02/2026,Present,86,0,4,4
d4ec494f-afe1-4845-a18a-f249d45a1de3,Travis Richards,,MALE,Marketing,PhD,03/02/2024,Communication,23/09/2024,P,,0,0,0
fe66c4fa-35ed-4f38-9197-107c89b702ed,Hannah Cochran,24,FEMALE,Engineering,None,03/08/2021,Excel,22/09/2023,A,25,,1,1
f7eefd84-b31c-4349-9799-2f42351b3e63,Sandra Bauer,37,M,Support,Bachelors,20/09/2022,Excel,13/11/2022,No,71,54,0,0
421a4d96-35f1-404b-85fe-21d68365d2cf,Dean Weeks,48,Male,Support,None,13/01/2021,Cloud Computing,01/05/2021,Absent,0,,,
79a759de-2fb9-450b-a190-aa44a8887521,Kevin Watson,,F,Sales,Bachelors,30/08/2024,Python,15/04/2025,P,78,,0,0
08aa6127-e6b9-43a3-96a0-c726a886a9fc,Brian Howard,,Male,Marketing,Diploma,25/06/2023,Cloud Computing,26/05/2025,P,,0,4,4
55afb783-79ba-49db-abe1-610b28a3df6e,Steven Lopez,,FEMALE,Support,Bachelors,01/05/2020,Excel,05/02/2021,Absent,93,70,4,4
8bf9a66d-7782-483f-a9a9-b2d74e681465,Alex Lamb,,M,Marketing,Bachelors,24/04/2023,Leadership,23/08/2024,Yes,41,0,5,5
6f5a181a-b1ca-464c-9372-748497f483d6,Kara Sanchez,52,Male,Finance,PhD,24/02/2024,Excel,05/12/2024,P,63,,4,4
